n=5000,n=10000,n=20000,n=50000,n=70000,n=100000
0,0.016,0.016,0.038,0.069,0.069
0,0,0.006,0.016,0.047,0.047
0,0,0,0.031,0.032,0.053
0,0.016,0.016,0.016,0.053,0.047
0,0,0.016,0.031,0.031,0.037
0,0.006,0,0.022,0.054,0.047
0,0,0.015,0.015,0.062,0.038
0.016,0,0,0.047,0.038,0.093
0,0.016,0,0.045,0.069,0.06
0,0,0.016,0.055,0.078,0.102
0,0.015,0,0.031,0.059,0.053
0,0,0.015,0.031,0.039,0.069
0,0.016,0,0.022,0.052,0.085
0,0,0.015,0.047,0.046,0.062
0.015,0,0,0.031,0.054,0.1
0,0.016,0.016,0.023,0.031,0.054
0,0,0.016,0.031,0.038,0.069
0,0,0,0.016,0.062,0.1
0,0.015,0.015,0.022,0.085,0.094
0,0,0,0.031,0.085,0.036
0.00155,0.0058,0.0081,0.03005,0.0542,0.06575
