Quick,n = 500,Quick,n = 1000,Quick,n = 2000,Quick,n = 5000,Quick,n = 10000,Quick,n = 50000,Heap,n = 500,Heap,n = 1000,Heap,n = 2000,Heap,n = 5000,Heap,n = 10000,Heap,n = 50000,Merge,n = 500,Merge,n = 1000,Merge,n = 2000,Merge,n = 5000,Merge,n = 10000,Merge,n = 50000
Comparisons,Time,Comparisons,Time,Comparisons,Time,Comparisons,Time,Comparisons,Time,Comparisons,Time,Comparisons,Time,Comparisons,Time,Comparisons,Time,Comparisons,Time,Comparisons,Time,Comparisons,Time,Comparisons,Time,Comparisons,Time,Comparisons,Time,Comparisons,Time,Comparisons,Time,Comparisons,Time
5087,0,11249,0,25804,0,74775,0.004,169156,0,990479,0.008,8596,0,19228,0,42260,0,119390,0,258682,0.002,1525422,0.016,4206,0,9447,0,20884,0,58987,0.004,127897,0.008,758176,0.02
5094,0,11032,0,29341,0,75152,0,169678,0.004,975566,0.012,8624,0,19124,0,42392,0,119252,0.004,258362,0.004,1525106,0.016,4241,0,9473,0,20860,0,59044,0,127755,0.004,758138,0.018
5373,0,12377,0,26348,0,77052,0,151573,0,982653,0.012,8590,0,19144,0,42230,0,119222,0,258370,0,1524928,0.012,4227,0,9444,0,20846,0.004,59089,0,127901,0.004,758037,0.016
5197,0,11846,0,26517,0,72193,0,157874,0.004,948488,0.008,8596,0,19258,0,42304,0.004,119028,0,258474,0.004,1524890,0.012,4216,0,9440,0,20857,0,58974,0.004,127878,0.004,758070,0.016
5016,0,12498,0,26778,0,72336,0,164157,0,949782,0.008,8564,0,19214,0,42246,0,119356,0.004,258404,0.002,1525046,0.012,4233,0,9429,0,20847,0,59006,0.004,128127,0.004,758362,0.016
5319,0,11053,0,26806,0,73955,0.004,172334,0.004,939864,0.01,8602,0,19196,0,42366,0,119300,0.001,258364,0.004,1524732,0.016,4206,0,9411,0.005,20784,0,58987,0,128004,0.004,758279,0.016
4949,0,12990,0,24854,0,75124,0,163538,0,952231,0.008,8586,0,19202,0,42308,0,119262,0,258752,0,1525368,0.014,4223,0,9451,0,20844,0,59054,0.004,127963,0,758273,0.027
4715,0,11508,0,25753,0,73983,0,161661,0.004,973083,0.008,8624,0.003,19188,0,42346,0,119116,0.002,258410,0.004,1524468,0.016,4222,0,9470,0,20855,0.004,58950,0,127966,0.004,758587,0.02
5200,0,11662,0,24559,0,71921,0,156565,0,961805,0.008,8588,0,19096,0,42322,0,119446,0.003,258354,0,1524780,0.016,4199,0,9456,0,20779,0,59027,0.004,127909,0.008,758010,0.022
5373,0,11552,0,26847,0,72523,0.004,158783,0.004,1007314,0.008,8546,0,19176,0,42360,0,119364,0,258120,0.001,1524822,0.014,4219,0,9427,0,20836,0,58907,0,127826,0,758328,0.017
4936,0,11083,0,25495,0,75226,0,170168,0,972920,0.008,8658,0,19194,0,42358,0.004,119354,0.004,258460,0,1524810,0.012,4234,0,9436,0,20939,0,58950,0,127979,0.004,758128,0.016
5102,0,11760,0,24020,0,78039,0,155322,0.004,992035,0.008,8612,0,19156,0.004,42406,0,119336,0.003,258270,0.004,1524584,0.016,4212,0,9429,0,20896,0.004,58989,0.005,127804,0.004,758347,0.016
5368,0,11975,0,25934,0,75021,0,159558,0,1004625,0.004,8610,0,19094,0,42344,0,119156,0,258594,0.004,1524910,0.014,4261,0,9411,0,20898,0,58957,0,127901,0,758519,0.012
4988,0,13239,0,25146,0,73156,0,159751,0.004,1024111,0.008,8550,0,19166,0,42274,0,119114,0.001,258716,0.002,1525330,0.011,4227,0.003,9413,0,20929,0,59013,0.004,128001,0.004,758567,0.018
5114,0,12107,0,26081,0,72506,0.004,162646,0.004,1013725,0.008,8542,0,19106,0,42420,0,119234,0,258390,0.003,1525012,0.013,4202,0,9459,0.003,20847,0,58963,0.003,127967,0.004,758000,0.016
5118,0,13358,0,25502,0,77246,0,156088,0,948308,0.008,8608,0,19182,0,42226,0,119050,0.004,258380,0,1524808,0.012,4226,0,9461,0,20903,0,59145,0,127874,0.004,758533,0.016
5338,0,11532,0,24996,0,74029,0,159596,0,993159,0.008,8536,0,19202,0,42290,0,119104,0.004,258230,0.004,1524720,0.012,4226,0,9435,0,20853,0,58952,0.004,127825,0,758366,0.016
4999,0,11588,0,24921,0,71413,0,175294,0.004,1032299,0.008,8570,0,19194,0,42390,0.004,119136,0,258390,0,1524956,0.016,4219,0,9433,0,20863,0,58941,0.002,127867,0.004,758267,0.016
5423,0,11456,0,26547,0,75318,0.004,154115,0,960112,0.008,8558,0,19190,0,42326,0,119076,0.004,258346,0.004,1524710,0.016,4231,0,9418,0,20863,0,59038,0,127820,0.004,758292,0.016
4877,0,11645,0,25885,0,70180,0,158059,0,963791,0.008,8636,0,19112,0,42420,0,119028,0,258206,0.004,1525138,0.016,4200,0,9445,0,20888,0,58862,0,127875,0.004,758408,0.013
5129.3,0,11875.5,0,25906.7,0,74057.4,0.001,161795.8,0.0018,979317.5,0.0083,8589.8,0.00015,19171.1,0.0002,42329.4,0.0006,119216.2,0.0017,258413.7,0.0023,1524927,0.0141,4221.5,0.00015,9439.4,0.0004,20863.55,0.0006,58991.75,0.0019,127906.95,0.0036,758284.35,0.01715
