n=5000,n=10000,n=20000,n=50000,n=70000,n=100000
0.006,0,0.016,0.015,0.016,0.031
0,0,0,0.016,0.016,0.022
0,0.015,0.016,0.016,0.031,0.016
0,0,0,0.015,0.016,0.016
0,0,0,0.016,0.022,0.016
0,0,0.016,0.015,0.015,0.022
0,0,0,0.007,0.016,0.063
0,0,0,0.016,0.016,0.053
0,0.016,0.015,0.015,0.016,0.016
0,0,0,0.016,0.022,0.037
0,0,0,0.015,0.016,0.016
0.016,0,0.016,0.016,0.015,0.015
0,0.016,0,0.016,0.016,0.032
0,0,0,0.006,0.022,0.053
0,0,0.015,0.016,0.033,0.062
0,0,0,0.015,0.025,0.023
0,0,0.016,0.016,0.016,0.031
0,0.015,0.007,0.016,0.022,0.031
0,0,0,0.015,0.032,0.022
0,0,0,0.016,0.015,0.031
0.0011,0.0031,0.00585,0.0147,0.0199,0.0304
